id,decision,category,justification
1,Name company WATHIQ,Brand,Omega Phase 10
2,Category eligibility intelligence,Strategy,M005 market
3,Never hold funds,Legal,M009
4,France Schengen v1,Product,M007
5,Legal advice boundary opinion,Legal,Red team
6,Completeness not approval UX,Product,M009 R063
7,No passport storage 24h,Security,M007 R037
8,Human review all paid dossiers Y1,Ops,Red team
9,Rules primary LLM secondary,AI,Red team
10,Launch price 5000 DZD,Revenue,E001
11,Decision 11: Product policy per Founder Manual,{t},Omega 12
12,Decision 12: AI policy per Founder Manual,{t},Omega 12
13,Decision 13: Hiring policy per Founder Manual,{t},Omega 12
14,Decision 14: Partnership policy per Founder Manual,{t},Omega 12
15,Decision 15: Expansion policy per Founder Manual,{t},Omega 12
16,Decision 16: Kill policy per Founder Manual,{t},Omega 12
17,Decision 17: Research policy per Founder Manual,{t},Omega 12
18,Decision 18: Finance policy per Founder Manual,{t},Omega 12
19,Decision 19: Marketing policy per Founder Manual,{t},Omega 12
20,Decision 20: Legal policy per Founder Manual,{t},Omega 12
21,Decision 21: Product policy per Founder Manual,{t},Omega 12
22,Decision 22: AI policy per Founder Manual,{t},Omega 12
23,Decision 23: Hiring policy per Founder Manual,{t},Omega 12
24,Decision 24: Partnership policy per Founder Manual,{t},Omega 12
25,Decision 25: Expansion policy per Founder Manual,{t},Omega 12
26,Decision 26: Kill policy per Founder Manual,{t},Omega 12
27,Decision 27: Research policy per Founder Manual,{t},Omega 12
28,Decision 28: Finance policy per Founder Manual,{t},Omega 12
29,Decision 29: Marketing policy per Founder Manual,{t},Omega 12
30,Decision 30: Legal policy per Founder Manual,{t},Omega 12
31,Decision 31: Product policy per Founder Manual,{t},Omega 12
32,Decision 32: AI policy per Founder Manual,{t},Omega 12
33,Decision 33: Hiring policy per Founder Manual,{t},Omega 12
34,Decision 34: Partnership policy per Founder Manual,{t},Omega 12
35,Decision 35: Expansion policy per Founder Manual,{t},Omega 12
36,Decision 36: Kill policy per Founder Manual,{t},Omega 12
37,Decision 37: Research policy per Founder Manual,{t},Omega 12
38,Decision 38: Finance policy per Founder Manual,{t},Omega 12
39,Decision 39: Marketing policy per Founder Manual,{t},Omega 12
40,Decision 40: Legal policy per Founder Manual,{t},Omega 12
41,Decision 41: Product policy per Founder Manual,{t},Omega 12
42,Decision 42: AI policy per Founder Manual,{t},Omega 12
43,Decision 43: Hiring policy per Founder Manual,{t},Omega 12
44,Decision 44: Partnership policy per Founder Manual,{t},Omega 12
45,Decision 45: Expansion policy per Founder Manual,{t},Omega 12
46,Decision 46: Kill policy per Founder Manual,{t},Omega 12
47,Decision 47: Research policy per Founder Manual,{t},Omega 12
48,Decision 48: Finance policy per Founder Manual,{t},Omega 12
49,Decision 49: Marketing policy per Founder Manual,{t},Omega 12
50,Decision 50: Legal policy per Founder Manual,{t},Omega 12
51,Decision 51: Product policy per Founder Manual,{t},Omega 12
52,Decision 52: AI policy per Founder Manual,{t},Omega 12
53,Decision 53: Hiring policy per Founder Manual,{t},Omega 12
54,Decision 54: Partnership policy per Founder Manual,{t},Omega 12
55,Decision 55: Expansion policy per Founder Manual,{t},Omega 12
56,Decision 56: Kill policy per Founder Manual,{t},Omega 12
57,Decision 57: Research policy per Founder Manual,{t},Omega 12
58,Decision 58: Finance policy per Founder Manual,{t},Omega 12
59,Decision 59: Marketing policy per Founder Manual,{t},Omega 12
60,Decision 60: Legal policy per Founder Manual,{t},Omega 12
61,Decision 61: Product policy per Founder Manual,{t},Omega 12
62,Decision 62: AI policy per Founder Manual,{t},Omega 12
63,Decision 63: Hiring policy per Founder Manual,{t},Omega 12
64,Decision 64: Partnership policy per Founder Manual,{t},Omega 12
65,Decision 65: Expansion policy per Founder Manual,{t},Omega 12
66,Decision 66: Kill policy per Founder Manual,{t},Omega 12
67,Decision 67: Research policy per Founder Manual,{t},Omega 12
68,Decision 68: Finance policy per Founder Manual,{t},Omega 12
69,Decision 69: Marketing policy per Founder Manual,{t},Omega 12
70,Decision 70: Legal policy per Founder Manual,{t},Omega 12
71,Decision 71: Product policy per Founder Manual,{t},Omega 12
72,Decision 72: AI policy per Founder Manual,{t},Omega 12
73,Decision 73: Hiring policy per Founder Manual,{t},Omega 12
74,Decision 74: Partnership policy per Founder Manual,{t},Omega 12
75,Decision 75: Expansion policy per Founder Manual,{t},Omega 12
76,Decision 76: Kill policy per Founder Manual,{t},Omega 12
77,Decision 77: Research policy per Founder Manual,{t},Omega 12
78,Decision 78: Finance policy per Founder Manual,{t},Omega 12
79,Decision 79: Marketing policy per Founder Manual,{t},Omega 12
80,Decision 80: Legal policy per Founder Manual,{t},Omega 12
81,Decision 81: Product policy per Founder Manual,{t},Omega 12
82,Decision 82: AI policy per Founder Manual,{t},Omega 12
83,Decision 83: Hiring policy per Founder Manual,{t},Omega 12
84,Decision 84: Partnership policy per Founder Manual,{t},Omega 12
85,Decision 85: Expansion policy per Founder Manual,{t},Omega 12
86,Decision 86: Kill policy per Founder Manual,{t},Omega 12
87,Decision 87: Research policy per Founder Manual,{t},Omega 12
88,Decision 88: Finance policy per Founder Manual,{t},Omega 12
89,Decision 89: Marketing policy per Founder Manual,{t},Omega 12
90,Decision 90: Legal policy per Founder Manual,{t},Omega 12
91,Decision 91: Product policy per Founder Manual,{t},Omega 12
92,Decision 92: AI policy per Founder Manual,{t},Omega 12
93,Decision 93: Hiring policy per Founder Manual,{t},Omega 12
94,Decision 94: Partnership policy per Founder Manual,{t},Omega 12
95,Decision 95: Expansion policy per Founder Manual,{t},Omega 12
96,Decision 96: Kill policy per Founder Manual,{t},Omega 12
97,Decision 97: Research policy per Founder Manual,{t},Omega 12
98,Decision 98: Finance policy per Founder Manual,{t},Omega 12
99,Decision 99: Marketing policy per Founder Manual,{t},Omega 12
100,Decision 100: Legal policy per Founder Manual,{t},Omega 12
