scenario,wathiq_survives_yn,severity_1_5,notes
A_government_digitize,Y,2,pivot_B2G
B_yassir_platform,M,4,acquire_or_die
C_booking_ota,Y,1,irrelevant
D_ai_free,M,3,commoditize_checklist
E_visa_rejection_down_70,M,4,TAM_shrink
F_cash_disappears,Y,1,aligned
G_cash_forever,Y,1,aligned
H_openai_travel,N,5,unless_acquired
I_google_travel,N,5,unless_acquired
J_war,N,4,demand_collapse
J_pandemic,M,3,chaos_helps_alerts
J_fx_crisis,M,3,outbound_drop
political_reform,Y,2,more_outbound
inflation,Y,2,price_adjust
